22-12-2023 01:03:30.524 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator.getRemoteEnvironment - Fetching config from server at : http://localhost:8888
22-12-2023 01:03:33.986 [main] WARN  o.s.data.convert.CustomConversions.register - Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type; You might want to check your annotation setup at the converter implementation
22-12-2023 01:03:34.147 [main] WARN  o.s.data.convert.CustomConversions.register - Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type; You might want to check your annotation setup at the converter implementation
22-12-2023 01:03:34.283 [main] INFO  org.mongodb.driver.cluster.info - No server chosen by com.mongodb.reactivestreams.client.internal.ClientSessionHelper$$Lambda$815/0x000000080066c040@27df5806 from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, serverDescriptions=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
22-12-2023 01:03:34.286 [main] INFO  org.mongodb.driver.cluster.info - No server chosen by com.mongodb.reactivestreams.client.internal.ClientSessionHelper$$Lambda$815/0x000000080066c040@288728e from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, serverDescriptions=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
22-12-2023 01:03:34.287 [main] INFO  org.mongodb.driver.cluster.info - No server chosen by com.mongodb.reactivestreams.client.internal.ClientSessionHelper$$Lambda$815/0x000000080066c040@b7d2d51 from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, serverDescriptions=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
22-12-2023 01:03:34.288 [main] INFO  org.mongodb.driver.cluster.info - No server chosen by com.mongodb.reactivestreams.client.internal.ClientSessionHelper$$Lambda$815/0x000000080066c040@641ed324 from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, serverDescriptions=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
22-12-2023 01:03:34.604 [cluster-ClusterId{value='658526b5ba432428c24a711d', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:1, serverValue:491}] to localhost:27017
22-12-2023 01:03:34.604 [cluster-rtt-ClusterId{value='658526b5ba432428c24a711d', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:2, serverValue:490}] to localhost:27017
22-12-2023 01:03:34.607 [cluster-ClusterId{value='658526b5ba432428c24a711d', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster.info - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=54108000}
22-12-2023 01:03:34.654 [nioEventLoopGroup-3-3] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:3, serverValue:492}] to localhost:27017
22-12-2023 01:03:34.654 [nioEventLoopGroup-3-4] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:4, serverValue:493}] to localhost:27017
22-12-2023 01:03:34.664 [nioEventLoopGroup-3-6] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:6, serverValue:495}] to localhost:27017
22-12-2023 01:03:34.664 [nioEventLoopGroup-3-5] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:5, serverValue:494}] to localhost:27017
22-12-2023 01:03:36.313 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration.restTemplateDiscoveryClientOptionalArgs - Eureka HTTP Client uses RestTemplate.
22-12-2023 01:03:37.373 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger.logWarning - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
22-12-2023 01:03:37.403 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory.create - Setting initial instance status as: STARTING
22-12-2023 01:03:37.562 [main] INFO  c.netflix.discovery.DiscoveryClient.<init> - Initializing Eureka in region us-east-1
22-12-2023 01:03:37.578 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver.getClusterEndpoints - Resolving eureka endpoints via configuration
22-12-2023 01:03:37.620 [main] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Disable delta property : false
22-12-2023 01:03:37.622 [main] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Single vip registry refresh property : null
22-12-2023 01:03:37.622 [main] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Force full registry fetch : false
22-12-2023 01:03:37.623 [main] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Application is null : false
22-12-2023 01:03:37.623 [main] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Registered Applications size is zero : true
22-12-2023 01:03:37.623 [main] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Application version is -1: true
22-12-2023 01:03:37.623 [main] INFO  c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - Getting all instance registry info from the eureka server
22-12-2023 01:03:37.991 [main] INFO  c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - The response status is 200
22-12-2023 01:03:37.993 [main] INFO  c.netflix.discovery.DiscoveryClient.initScheduledTasks - Starting heartbeat executor: renew interval is: 30
22-12-2023 01:03:37.995 [main] INFO  c.n.discovery.InstanceInfoReplicator.<init> - InstanceInfoReplicator onDemand update allowed rate per min is 4
22-12-2023 01:03:38.000 [main] INFO  c.netflix.discovery.DiscoveryClient.<init> - Discovery Client initialized at timestamp 1703225017999 with initial instances count: 0
22-12-2023 01:03:38.001 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry.register - Registering application SERVICE-CUSTOMER with eureka with status UP
22-12-2023 01:03:38.001 [main] INFO  c.netflix.discovery.DiscoveryClient.notify - Saw local status change event StatusChangeEvent [timestamp=1703225018001, current=UP, previous=STARTING]
22-12-2023 01:03:38.002 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_SERVICE-CUSTOMER/service-customer:63a76f2b-b30b-4a3e-a048-bf0cf847368f: registering service...
22-12-2023 01:03:38.027 [main] INFO  o.s.b.w.e.netty.NettyWebServer.start - Netty started on port 9101
22-12-2023 01:03:38.027 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration.onApplicationEvent - Updating port to 9101
22-12-2023 01:03:38.094 [restartedMain] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator.getRemoteEnvironment - Fetching config from server at : http://localhost:8888
22-12-2023 01:03:38.103 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_SERVICE-CUSTOMER/service-customer:63a76f2b-b30b-4a3e-a048-bf0cf847368f - registration status: 204
22-12-2023 01:03:38.624 [main] INFO  c.b.j.c.ApiCustomerApplication.logStarted - Started ApiCustomerApplication in 9.47 seconds (JVM running for 9.823)
22-12-2023 01:03:40.224 [restartedMain] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator.getRemoteEnvironment - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
22-12-2023 01:03:40.224 [restartedMain] WARN  o.s.c.c.c.ConfigServicePropertySourceLocator.locate - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/service-product/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
22-12-2023 01:03:40.226 [restartedMain] INFO  c.b.j.product.ApiProductApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
22-12-2023 01:03:40.951 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode
22-12-2023 01:03:40.952 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
22-12-2023 01:03:41.051 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 94 ms. Found 1 Reactive MongoDB repository interfaces.
22-12-2023 01:03:41.058 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode
22-12-2023 01:03:41.059 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
22-12-2023 01:03:41.073 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.bootcamp48.java.product.repository.ProductRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
22-12-2023 01:03:41.073 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
22-12-2023 01:03:41.273 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope.setSerializationId - BeanFactory id=743ab4bf-06f6-3a97-8385-81fa18d3eb33
22-12-2023 01:03:41.349 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22-12-2023 01:03:41.353 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22-12-2023 01:03:41.356 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22-12-2023 01:03:42.089 [restartedMain] INFO  org.mongodb.driver.client.info - MongoClient with metadata {"driver": {"name": "mongo-java-driver|reactive-streams|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/AdoptOpenJDK/11.0.11+9"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=NettyStreamFactoryFactory{eventLoopGroup=io.netty.channel.nio.NioEventLoopGroup@5c174dcb, socketChannelClass=class io.netty.channel.socket.nio.NioSocketChannel, allocator=PooledByteBufAllocator(directByDefault: true), sslContext=null}, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@1d16e7a8], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@1ebc1360]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@3388da1], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
22-12-2023 01:03:42.189 [restartedMain] WARN  o.s.data.convert.CustomConversions.register - Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type; You might want to check your annotation setup at the converter implementation
22-12-2023 01:03:42.304 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
22-12-2023 01:03:42.368 [restartedMain] WARN  o.s.data.convert.CustomConversions.register - Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type; You might want to check your annotation setup at the converter implementation
22-12-2023 01:03:42.493 [restartedMain] INFO  org.mongodb.driver.cluster.info - No server chosen by com.mongodb.reactivestreams.client.internal.ClientSessionHelper$$Lambda$962/0x0000000800730c40@d1b6925 from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, serverDescriptions=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
22-12-2023 01:03:42.496 [restartedMain] INFO  org.mongodb.driver.cluster.info - No server chosen by com.mongodb.reactivestreams.client.internal.ClientSessionHelper$$Lambda$962/0x0000000800730c40@1d11a939 from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, serverDescriptions=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
22-12-2023 01:03:42.917 [cluster-rtt-ClusterId{value='658526be1855380393319bcf', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:2, serverValue:496}] to localhost:27017
22-12-2023 01:03:42.919 [cluster-ClusterId{value='658526be1855380393319bcf', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:1, serverValue:497}] to localhost:27017
22-12-2023 01:03:42.920 [cluster-ClusterId{value='658526be1855380393319bcf', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster.info - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=70724200}
22-12-2023 01:03:42.961 [nioEventLoopGroup-3-3] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:3, serverValue:498}] to localhost:27017
22-12-2023 01:03:42.961 [nioEventLoopGroup-3-4] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:4, serverValue:499}] to localhost:27017
22-12-2023 01:03:45.784 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver.<init> - Exposing 1 endpoint(s) beneath base path '/actuator'
22-12-2023 01:03:46.424 [restartedMain] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration.restTemplateDiscoveryClientOptionalArgs - Eureka HTTP Client uses RestTemplate.
22-12-2023 01:03:46.468 [restartedMain] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger.logWarning - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
22-12-2023 01:03:46.490 [restartedMain] INFO  o.s.c.n.eureka.InstanceInfoFactory.create - Setting initial instance status as: STARTING
22-12-2023 01:03:46.548 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.<init> - Initializing Eureka in region us-east-1
22-12-2023 01:03:46.553 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver.getClusterEndpoints - Resolving eureka endpoints via configuration
22-12-2023 01:03:46.571 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Disable delta property : false
22-12-2023 01:03:46.571 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Single vip registry refresh property : null
22-12-2023 01:03:46.571 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Force full registry fetch : false
22-12-2023 01:03:46.571 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Application is null : false
22-12-2023 01:03:46.571 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Registered Applications size is zero : true
22-12-2023 01:03:46.571 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Application version is -1: true
22-12-2023 01:03:46.571 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - Getting all instance registry info from the eureka server
22-12-2023 01:03:46.878 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - The response status is 200
22-12-2023 01:03:46.880 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.initScheduledTasks - Starting heartbeat executor: renew interval is: 30
22-12-2023 01:03:46.881 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator.<init> - InstanceInfoReplicator onDemand update allowed rate per min is 4
22-12-2023 01:03:46.887 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.<init> - Discovery Client initialized at timestamp 1703225026885 with initial instances count: 0
22-12-2023 01:03:46.889 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry.register - Registering application SERVICE-PRODUCT with eureka with status UP
22-12-2023 01:03:46.890 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.notify - Saw local status change event StatusChangeEvent [timestamp=1703225026890, current=UP, previous=STARTING]
22-12-2023 01:03:46.893 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_SERVICE-PRODUCT/service-product:ef347e3b-785b-4f6a-8815-91c9280788d5: registering service...
22-12-2023 01:03:46.931 [restartedMain] INFO  o.s.b.w.e.netty.NettyWebServer.start - Netty started on port 9102
22-12-2023 01:03:46.933 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration.onApplicationEvent - Updating port to 9102
22-12-2023 01:03:46.945 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_SERVICE-PRODUCT/service-product:ef347e3b-785b-4f6a-8815-91c9280788d5 - registration status: 204
22-12-2023 01:03:47.561 [restartedMain] INFO  c.b.j.product.ApiProductApplication.logStarted - Started ApiProductApplication in 11.509 seconds (JVM running for 12.592)
22-12-2023 01:03:58.644 [restartedMain] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator.getRemoteEnvironment - Fetching config from server at : http://localhost:8888
22-12-2023 01:04:00.748 [restartedMain] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator.getRemoteEnvironment - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
22-12-2023 01:04:00.749 [restartedMain] WARN  o.s.c.c.c.ConfigServicePropertySourceLocator.locate - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/service-account/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
22-12-2023 01:04:00.752 [restartedMain] INFO  c.b.j.account.ApiAccountApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
22-12-2023 01:04:01.735 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
22-12-2023 01:04:01.873 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 131 ms. Found 1 Reactive MongoDB repository interfaces.
22-12-2023 01:04:02.350 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope.setSerializationId - BeanFactory id=c01ddc53-29c9-3baf-b190-f706fa38b3d6
22-12-2023 01:04:02.384 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'com.bootcamp48.java.account.client.CustomerClient' of type [reactivefeign.spring.config.ReactiveFeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22-12-2023 01:04:02.387 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'com.bootcamp48.java.account.client.ProductClient' of type [reactivefeign.spring.config.ReactiveFeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22-12-2023 01:04:02.657 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22-12-2023 01:04:02.662 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
